UserID,Quarter,RevenueGoal,ClosedGoal
3bd591650100f6d4d8d450a854a1d239,2022-12-31,100000,3
53fc828a34ed2f9e948d0b7496890ed8,2022-12-31,150000,8
6330fac805b4a4d159159b6603af8bde,2022-12-31,100000,3
66d6ba5b72998b2aa6ff230e089cdda2,2022-12-31,120000,6
6e47aff8fa18686134309f3d307ab61a,2022-12-31,200000,3
a30a1bc9c4d962fd40049aad56475c32,2022-12-31,110000,5
aa5085f570bfd229038537c176992f04,2022-12-31,100000,3
d5703f741701dfac0ada55cc24cd698c,2022-12-31,40000,1
d8ffba4a02690c0cdb76b7224d1144f2,2022-12-31,100000,3
f15105dfec1aef35eba924857ef557a6,2022-12-31,80000,1
f9763fcaf7043f372d91fd2a209ecef7,2022-12-31,100000,3
3bd591650100f6d4d8d450a854a1d239,2023-01-31,120000,4
53fc828a34ed2f9e948d0b7496890ed8,2023-01-31,180000,11
6330fac805b4a4d159159b6603af8bde,2023-01-31,120000,4
66d6ba5b72998b2aa6ff230e089cdda2,2023-01-31,144000,9
6e47aff8fa18686134309f3d307ab61a,2023-01-31,240000,5
a30a1bc9c4d962fd40049aad56475c32,2023-01-31,132000,6
aa5085f570bfd229038537c176992f04,2023-01-31,120000,4
d5703f741701dfac0ada55cc24cd698c,2023-01-31,48000,2
d8ffba4a02690c0cdb76b7224d1144f2,2023-01-31,120000,3
f15105dfec1aef35eba924857ef557a6,2023-01-31,96000,2
f9763fcaf7043f372d91fd2a209ecef7,2023-01-31,120000,4
3bd591650100f6d4d8d450a854a1d239,2023-06-30,144000,5
53fc828a34ed2f9e948d0b7496890ed8,2023-06-30,216000,11
6330fac805b4a4d159159b6603af8bde,2023-06-30,144000,5
66d6ba5b72998b2aa6ff230e089cdda2,2023-06-30,172800,12
6e47aff8fa18686134309f3d307ab61a,2023-06-30,288000,6
a30a1bc9c4d962fd40049aad56475c32,2023-06-30,158400,6
aa5085f570bfd229038537c176992f04,2023-06-30,144000,5
d5703f741701dfac0ada55cc24cd698c,2023-06-30,57600,2
d8ffba4a02690c0cdb76b7224d1144f2,2023-06-30,144000,5
f15105dfec1aef35eba924857ef557a6,2023-06-30,115200,3
f9763fcaf7043f372d91fd2a209ecef7,2023-06-30,144000,5
3bd591650100f6d4d8d450a854a1d239,2023-09-30,172800,5
53fc828a34ed2f9e948d0b7496890ed8,2023-09-30,259200,17
6330fac805b4a4d159159b6603af8bde,2023-09-30,172800,7
66d6ba5b72998b2aa6ff230e089cdda2,2023-09-30,207360,14
6e47aff8fa18686134309f3d307ab61a,2023-09-30,345600,6
a30a1bc9c4d962fd40049aad56475c32,2023-09-30,190080,9
aa5085f570bfd229038537c176992f04,2023-09-30,172800,7
d5703f741701dfac0ada55cc24cd698c,2023-09-30,69120,2
d8ffba4a02690c0cdb76b7224d1144f2,2023-09-30,172800,6
f15105dfec1aef35eba924857ef557a6,2023-09-30,138240,3
f9763fcaf7043f372d91fd2a209ecef7,2023-09-30,172800,6
